Symbol,CompanyName,Sector,Date,High,Low,Close,Volume,Value_NPR,Trades
PFL,Pokhara Finance Ltd.,Finance,2025-02-12,417.0,395.2,402.7,115905,47212176.7,479
PFL,Pokhara Finance Ltd.,Finance,2025-02-13,442.9,410.0,442.9,211366,90484681.7,1587
PFL,Pokhara Finance Ltd.,Finance,2025-02-16,487.1,451.7,487.1,216607,104494122.1,1308
PFL,Pokhara Finance Ltd.,Finance,2025-02-17,520.0,466.0,475.0,300974,146580817.3,2463
PFL,Pokhara Finance Ltd.,Finance,2025-02-18,489.0,462.7,466.0,117303,55500390.5,897
PFL,Pokhara Finance Ltd.,Finance,2025-02-20,489.0,450.8,463.0,142869,66704706.0,931
PFL,Pokhara Finance Ltd.,Finance,2025-02-23,478.0,449.0,464.0,72902,33905921.5,642
PFL,Pokhara Finance Ltd.,Finance,2025-02-24,470.7,452.0,454.0,47447,21825046.3,468
PFL,Pokhara Finance Ltd.,Finance,2025-02-25,463.0,450.8,454.0,45254,20596497.7,400
PFL,Pokhara Finance Ltd.,Finance,2025-02-27,468.9,452.0,456.0,40058,18281984.7,356
PFL,Pokhara Finance Ltd.,Finance,2025-03-02,499.4,463.0,498.0,159287,77426560.5,1131
PFL,Pokhara Finance Ltd.,Finance,2025-03-03,518.0,483.0,487.0,109590,54544899.2,880
PFL,Pokhara Finance Ltd.,Finance,2025-03-04,501.0,479.0,479.0,73268,35567805.4,471
PFL,Pokhara Finance Ltd.,Finance,2025-03-05,487.9,465.0,471.0,48698,23056290.7,436
PFL,Pokhara Finance Ltd.,Finance,2025-03-06,480.0,465.6,470.0,42666,20042471.7,338
PFL,Pokhara Finance Ltd.,Finance,2025-03-09,475.0,461.0,466.0,26462,12333249.2,248
PFL,Pokhara Finance Ltd.,Finance,2025-03-10,470.0,458.0,459.0,35419,16442264.8,302
PFL,Pokhara Finance Ltd.,Finance,2025-03-11,465.0,450.0,450.5,48442,22004014.8,316
PFL,Pokhara Finance Ltd.,Finance,2025-03-12,461.0,448.9,453.1,37828,17223945.2,250
PFL,Pokhara Finance Ltd.,Finance,2025-03-16,498.0,455.0,458.0,90426,42142865.7,677
PFL,Pokhara Finance Ltd.,Finance,2025-03-17,462.8,450.0,452.0,23899,10839668.3,200
PFL,Pokhara Finance Ltd.,Finance,2025-03-18,458.9,450.0,453.9,19616,8859141.0,187
PFL,Pokhara Finance Ltd.,Finance,2025-03-19,460.0,435.0,436.9,35114,15509177.3,279
PFL,Pokhara Finance Ltd.,Finance,2025-03-20,441.8,422.5,423.35,41880,17863442.1,406
PFL,Pokhara Finance Ltd.,Finance,2025-03-23,424.0,405.8,407.57,48619,20082182.3,421
PFL,Pokhara Finance Ltd.,Finance,2025-03-24,444.0,400.0,439.02,79357,34008047.0,621
PFL,Pokhara Finance Ltd.,Finance,2025-03-25,440.0,417.3,420.69,25956,11018282.8,328
PFL,Pokhara Finance Ltd.,Finance,2025-03-26,435.5,425.0,430.78,29476,12674459.6,299
PFL,Pokhara Finance Ltd.,Finance,2025-03-27,438.9,428.1,435.15,29521,12831772.7,238
PFL,Pokhara Finance Ltd.,Finance,2025-03-30,448.9,428.0,440.32,40400,17909217.1,351
PFL,Pokhara Finance Ltd.,Finance,2025-04-01,443.0,426.4,431.5,26625,11457474.2,221
PFL,Pokhara Finance Ltd.,Finance,2025-04-02,451.8,425.0,441.04,43573,19245229.8,315
PFL,Pokhara Finance Ltd.,Finance,2025-04-03,449.5,432.0,434.63,20788,9108428.1,196
PFL,Pokhara Finance Ltd.,Finance,2025-04-07,443.0,423.0,423.22,25345,10835317.7,186
PFL,Pokhara Finance Ltd.,Finance,2025-04-08,431.6,415.0,424.46,21487,9010916.2,209
PFL,Pokhara Finance Ltd.,Finance,2025-04-09,432.0,423.0,423.37,13827,5899520.9,143
PFL,Pokhara Finance Ltd.,Finance,2025-04-10,427.9,416.0,417.79,23266,9760732.2,189
PFL,Pokhara Finance Ltd.,Finance,2025-04-13,420.9,411.5,415.15,21691,9008463.1,155
PFL,Pokhara Finance Ltd.,Finance,2025-04-15,424.8,413.0,419.71,17487,7361375.0,150
PFL,Pokhara Finance Ltd.,Finance,2025-04-16,425.0,416.0,418.1,13732,5739071.1,126
PFL,Pokhara Finance Ltd.,Finance,2025-04-17,424.3,416.0,422.3,27133,11464276.3,205
PFL,Pokhara Finance Ltd.,Finance,2025-04-20,433.0,415.1,419.83,13705,5784201.1,126
PFL,Pokhara Finance Ltd.,Finance,2025-04-21,424.5,417.0,417.59,20340,8527072.2,159
PFL,Pokhara Finance Ltd.,Finance,2025-04-22,422.6,414.0,414.67,22199,9218031.9,156
PFL,Pokhara Finance Ltd.,Finance,2025-04-23,417.0,407.0,410.25,18015,7401710.8,134
PFL,Pokhara Finance Ltd.,Finance,2025-04-24,413.0,392.0,408.0,48301,19544488.4,360
PFL,Pokhara Finance Ltd.,Finance,2025-04-27,414.0,394.0,397.09,57494,23037595.3,421
PFL,Pokhara Finance Ltd.,Finance,2025-04-28,416.0,398.0,405.13,41168,16628125.5,273
PFL,Pokhara Finance Ltd.,Finance,2025-04-29,413.2,398.0,399.36,20941,8450180.0,157
PFL,Pokhara Finance Ltd.,Finance,2025-04-30,405.0,394.1,395.41,29116,11551393.7,224
PFL,Pokhara Finance Ltd.,Finance,2025-05-04,402.0,390.2,391.63,18410,7270589.1,152
PFL,Pokhara Finance Ltd.,Finance,2025-05-05,398.8,390.0,390.19,18749,7352804.4,151
PFL,Pokhara Finance Ltd.,Finance,2025-05-06,395.0,390.0,391.27,16376,6422164.4,153
PFL,Pokhara Finance Ltd.,Finance,2025-05-07,422.0,387.0,421.36,48982,20169672.0,355
PFL,Pokhara Finance Ltd.,Finance,2025-05-08,444.7,407.0,431.5,66118,28529266.9,531
PFL,Pokhara Finance Ltd.,Finance,2025-05-11,437.9,417.0,418.51,25345,10746873.6,225
PFL,Pokhara Finance Ltd.,Finance,2025-05-13,424.0,406.7,411.03,23018,9482863.6,200
PFL,Pokhara Finance Ltd.,Finance,2025-05-14,419.2,409.0,411.2,21816,9042380.3,164
PFL,Pokhara Finance Ltd.,Finance,2025-05-15,417.0,407.7,409.36,13005,5369023.5,111
PFL,Pokhara Finance Ltd.,Finance,2025-05-18,417.0,404.5,406.91,13267,5423245.6,129
PFL,Pokhara Finance Ltd.,Finance,2025-05-19,419.0,410.0,411.01,13689,5653487.1,142
PFL,Pokhara Finance Ltd.,Finance,2025-05-20,423.0,405.0,420.32,19324,8054216.5,156
PFL,Pokhara Finance Ltd.,Finance,2025-05-21,445.0,414.0,414.89,35149,14934773.7,305
PFL,Pokhara Finance Ltd.,Finance,2025-05-22,420.0,413.0,413.8,11730,4860606.2,100
PFL,Pokhara Finance Ltd.,Finance,2025-05-25,422.0,406.0,408.27,13303,5460570.4,130
PFL,Pokhara Finance Ltd.,Finance,2025-05-26,425.0,412.0,412.24,14290,5931662.6,144
PFL,Pokhara Finance Ltd.,Finance,2025-05-27,420.0,405.0,408.37,12289,5044742.7,122
PFL,Pokhara Finance Ltd.,Finance,2025-05-28,412.0,406.0,411.07,14157,5804593.6,126
PFL,Pokhara Finance Ltd.,Finance,2025-06-02,417.9,411.0,413.06,19720,8189226.5,149
PFL,Pokhara Finance Ltd.,Finance,2025-06-03,415.0,405.5,406.72,15547,6349612.1,118
PFL,Pokhara Finance Ltd.,Finance,2025-06-04,423.0,405.3,406.17,9602,3910004.1,101
PFL,Pokhara Finance Ltd.,Finance,2025-06-05,412.0,400.0,405.66,17978,7263408.0,140
PFL,Pokhara Finance Ltd.,Finance,2025-06-08,413.0,397.0,399.31,17797,7126953.9,130
PFL,Pokhara Finance Ltd.,Finance,2025-06-09,409.7,395.1,403.04,26198,10568774.9,132
PFL,Pokhara Finance Ltd.,Finance,2025-06-10,427.0,400.0,422.96,64885,27040405.7,374
PFL,Pokhara Finance Ltd.,Finance,2025-06-11,423.0,412.5,414.14,19121,7969029.8,147
PFL,Pokhara Finance Ltd.,Finance,2025-06-12,423.0,407.0,412.51,23650,9845948.5,187
PFL,Pokhara Finance Ltd.,Finance,2025-06-15,419.9,406.3,408.25,21775,8943752.2,162
PFL,Pokhara Finance Ltd.,Finance,2025-06-16,412.0,403.0,408.17,28502,11583597.3,215
PFL,Pokhara Finance Ltd.,Finance,2025-06-17,409.0,400.2,402.78,21600,8730870.3,118
PFL,Pokhara Finance Ltd.,Finance,2025-06-18,409.9,394.8,404.79,17864,7194284.2,146
PFL,Pokhara Finance Ltd.,Finance,2025-06-19,410.0,398.0,401.47,35304,14149492.6,228
PFL,Pokhara Finance Ltd.,Finance,2025-06-22,409.7,393.9,397.88,12931,5167009.3,118
PFL,Pokhara Finance Ltd.,Finance,2025-06-23,405.0,397.0,401.37,12518,5012914.0,112
PFL,Pokhara Finance Ltd.,Finance,2025-06-24,407.0,397.0,399.24,12891,5165208.6,115
PFL,Pokhara Finance Ltd.,Finance,2025-06-25,402.0,394.0,395.28,14867,5894470.8,143
PFL,Pokhara Finance Ltd.,Finance,2025-06-26,402.0,396.0,396.64,11509,4583080.3,112
PFL,Pokhara Finance Ltd.,Finance,2025-06-29,404.0,391.0,402.19,11037,4420157.4,120
PFL,Pokhara Finance Ltd.,Finance,2025-06-30,406.0,394.2,396.04,15070,6002291.3,129
PFL,Pokhara Finance Ltd.,Finance,2025-07-01,403.5,398.0,401.95,13160,5280401.9,117
PFL,Pokhara Finance Ltd.,Finance,2025-07-02,416.1,405.0,409.31,20959,8594522.8,200
PFL,Pokhara Finance Ltd.,Finance,2025-07-03,435.0,409.0,426.87,102041,43310648.8,671
PFL,Pokhara Finance Ltd.,Finance,2025-07-06,452.5,423.0,436.27,144021,63706210.2,1066
PFL,Pokhara Finance Ltd.,Finance,2025-07-07,439.0,417.5,419.73,36842,15634055.3,342
PFL,Pokhara Finance Ltd.,Finance,2025-07-08,432.0,417.5,422.97,23805,10094706.0,178
PFL,Pokhara Finance Ltd.,Finance,2025-07-09,429.0,418.0,419.59,18930,7976699.1,153
PFL,Pokhara Finance Ltd.,Finance,2025-07-10,427.8,418.0,419.22,33468,14096067.1,201
PFL,Pokhara Finance Ltd.,Finance,2025-07-13,442.0,425.0,427.42,39004,16799341.1,291
PFL,Pokhara Finance Ltd.,Finance,2025-07-14,428.8,418.0,418.13,19236,8087760.0,174
PFL,Pokhara Finance Ltd.,Finance,2025-07-15,435.0,420.0,432.18,56695,24351241.6,344
PFL,Pokhara Finance Ltd.,Finance,2025-07-16,440.0,429.8,431.44,32324,14022959.3,222
PFL,Pokhara Finance Ltd.,Finance,2025-07-17,446.0,435.3,443.27,72969,32259685.1,419
PFL,Pokhara Finance Ltd.,Finance,2025-07-20,475.5,430.0,437.35,306987,140534962.6,1679
PFL,Pokhara Finance Ltd.,Finance,2025-07-21,450.0,426.0,429.18,74116,32176844.1,520
PFL,Pokhara Finance Ltd.,Finance,2025-07-22,445.0,429.0,438.13,66640,29190205.5,391
PFL,Pokhara Finance Ltd.,Finance,2025-07-23,460.0,435.0,454.16,96863,43325745.0,669
PFL,Pokhara Finance Ltd.,Finance,2025-07-24,460.9,441.1,444.33,50177,22507674.7,355
PFL,Pokhara Finance Ltd.,Finance,2025-07-27,453.2,432.0,434.06,74605,32868946.0,502
PFL,Pokhara Finance Ltd.,Finance,2025-07-28,446.8,429.0,444.91,47937,20986907.8,323
PFL,Pokhara Finance Ltd.,Finance,2025-07-29,452.0,438.0,439.86,45837,20393167.5,344
PFL,Pokhara Finance Ltd.,Finance,2025-07-30,448.0,430.5,431.48,30426,13241719.6,246
PFL,Pokhara Finance Ltd.,Finance,2025-07-31,448.6,426.0,431.89,53242,23159231.2,405
PFL,Pokhara Finance Ltd.,Finance,2025-08-03,440.5,427.0,428.44,33717,14535011.1,248
PFL,Pokhara Finance Ltd.,Finance,2025-08-04,435.0,421.0,424.95,20014,8533169.4,175
PFL,Pokhara Finance Ltd.,Finance,2025-08-05,430.0,416.5,418.03,14180,5967674.6,185
PFL,Pokhara Finance Ltd.,Finance,2025-08-06,424.0,417.0,417.27,13365,5596794.2,146
PFL,Pokhara Finance Ltd.,Finance,2025-08-07,425.0,416.7,419.86,15099,6347519.4,166
PFL,Pokhara Finance Ltd.,Finance,2025-08-11,425.0,415.0,415.61,14172,5927739.7,142
PFL,Pokhara Finance Ltd.,Finance,2025-08-12,420.0,410.0,412.22,14307,5929035.8,129
PFL,Pokhara Finance Ltd.,Finance,2025-08-13,419.2,411.0,413.5,11173,4641005.1,112
PFL,Pokhara Finance Ltd.,Finance,2025-08-14,417.0,410.1,411.14,7895,3250857.0,92
PFL,Pokhara Finance Ltd.,Finance,2025-08-17,417.0,405.0,407.28,17457,7140034.0,148
PFL,Pokhara Finance Ltd.,Finance,2025-08-18,412.9,405.1,407.91,6063,2470930.2,86
PFL,Pokhara Finance Ltd.,Finance,2025-08-19,413.7,407.0,408.05,8601,3528415.5,97
PFL,Pokhara Finance Ltd.,Finance,2025-08-20,411.0,401.0,403.98,14776,5992530.9,125
PFL,Pokhara Finance Ltd.,Finance,2025-08-21,405.9,396.0,401.23,27221,10905333.6,159
PFL,Pokhara Finance Ltd.,Finance,2025-08-24,404.9,398.0,398.83,10012,4013328.8,89
PFL,Pokhara Finance Ltd.,Finance,2025-08-25,408.0,399.0,406.25,10942,4432745.5,119
PFL,Pokhara Finance Ltd.,Finance,2025-08-26,411.9,401.1,403.57,3887,1570817.7,47
PFL,Pokhara Finance Ltd.,Finance,2025-08-27,423.0,404.0,410.56,12749,5225793.9,134
PFL,Pokhara Finance Ltd.,Finance,2025-08-28,415.9,400.0,401.55,12571,5090788.3,128
PFL,Pokhara Finance Ltd.,Finance,2025-08-31,407.0,400.1,402.53,8436,3390751.0,97
PFL,Pokhara Finance Ltd.,Finance,2025-09-01,406.0,400.0,402.05,4656,1868103.0,57
PFL,Pokhara Finance Ltd.,Finance,2025-09-02,408.0,398.0,398.38,12430,4970871.1,107
PFL,Pokhara Finance Ltd.,Finance,2025-09-03,403.0,394.0,394.65,10406,4122870.4,99
PFL,Pokhara Finance Ltd.,Finance,2025-09-04,400.0,387.0,387.39,12743,4975722.0,132
PFL,Pokhara Finance Ltd.,Finance,2025-09-07,393.8,386.1,391.45,8971,3504192.8,112
PFL,Pokhara Finance Ltd.,Finance,2025-09-08,397.0,390.0,393.0,11908,4651671.4,75
PFL,Pokhara Finance Ltd.,Finance,2025-09-18,388.0,384.0,385.0,560,215624.0,8
PFL,Pokhara Finance Ltd.,Finance,2025-09-21,410.9,375.0,399.75,26605,10424815.8,186
PFL,Pokhara Finance Ltd.,Finance,2025-09-23,410.0,397.0,405.0,14919,6045095.8,106
PFL,Pokhara Finance Ltd.,Finance,2025-09-24,409.0,398.6,400.0,4136,1668175.4,64
PFL,Pokhara Finance Ltd.,Finance,2025-09-25,408.0,395.1,395.1,7039,2829656.3,62
PFL,Pokhara Finance Ltd.,Finance,2025-09-28,403.0,395.0,401.0,4140,1652196.7,63
PFL,Pokhara Finance Ltd.,Finance,2025-10-07,401.0,392.0,395.0,4216,1669268.2,49
PFL,Pokhara Finance Ltd.,Finance,2025-10-08,401.0,379.3,382.1,10881,4174024.7,121
PFL,Pokhara Finance Ltd.,Finance,2025-10-09,404.9,382.0,389.0,11566,4531995.6,115
PFL,Pokhara Finance Ltd.,Finance,2025-10-12,383.2,365.0,372.0,22220,8290560.4,192
PFL,Pokhara Finance Ltd.,Finance,2025-10-13,383.4,365.0,380.1,4691,1765322.2,66
PFL,Pokhara Finance Ltd.,Finance,2025-10-14,384.9,370.2,372.5,7507,2816291.5,60
PFL,Pokhara Finance Ltd.,Finance,2025-10-15,373.9,367.0,369.0,3966,1464570.0,54
PFL,Pokhara Finance Ltd.,Finance,2025-10-16,373.9,365.5,367.0,7122,2623221.1,66
PFL,Pokhara Finance Ltd.,Finance,2025-10-19,373.0,368.5,372.0,1759,651332.0,26
PFL,Pokhara Finance Ltd.,Finance,2025-10-26,372.0,365.0,370.0,4529,1672366.4,34
PFL,Pokhara Finance Ltd.,Finance,2025-10-28,381.0,370.1,381.0,7020,2640501.1,65
PFL,Pokhara Finance Ltd.,Finance,2025-10-29,386.0,373.0,373.0,6088,2306287.2,75
PFL,Pokhara Finance Ltd.,Finance,2025-10-30,396.0,370.8,387.0,7801,2960572.1,72
PFL,Pokhara Finance Ltd.,Finance,2025-11-02,411.0,385.0,405.0,18988,7604167.0,162
PFL,Pokhara Finance Ltd.,Finance,2025-11-03,412.8,397.2,403.0,13608,5528369.1,129
PFL,Pokhara Finance Ltd.,Finance,2025-11-04,404.0,388.7,388.7,7598,2991426.6,74
PFL,Pokhara Finance Ltd.,Finance,2025-11-05,404.0,381.2,397.0,8346,3255557.4,87
PFL,Pokhara Finance Ltd.,Finance,2025-11-06,405.0,393.0,393.0,29936,11984184.0,165
PFL,Pokhara Finance Ltd.,Finance,2025-11-09,397.0,387.0,390.0,3479,1355943.6,53
PFL,Pokhara Finance Ltd.,Finance,2025-11-10,397.8,383.0,391.0,4942,1924380.0,45
PFL,Pokhara Finance Ltd.,Finance,2025-11-11,396.0,379.0,385.5,12605,4834521.2,72
PFL,Pokhara Finance Ltd.,Finance,2025-11-12,383.0,380.0,380.0,10776,4101614.8,85
PFL,Pokhara Finance Ltd.,Finance,2025-11-13,383.0,378.0,380.0,3765,1433704.6,51
PFL,Pokhara Finance Ltd.,Finance,2025-11-16,383.9,373.0,374.9,10605,4003429.8,63
PFL,Pokhara Finance Ltd.,Finance,2025-11-17,380.0,373.0,376.0,7310,2762209.2,47
PFL,Pokhara Finance Ltd.,Finance,2025-11-18,388.6,378.1,380.0,7794,2966695.3,71
PFL,Pokhara Finance Ltd.,Finance,2025-11-19,384.9,377.5,377.5,5230,1976805.5,41
PFL,Pokhara Finance Ltd.,Finance,2025-11-20,381.4,374.0,374.0,5537,2078250.3,72
PFL,Pokhara Finance Ltd.,Finance,2025-11-23,386.0,378.0,382.3,10050,3846981.1,109
PFL,Pokhara Finance Ltd.,Finance,2025-11-24,388.3,382.0,388.0,8763,3380397.6,77
PFL,Pokhara Finance Ltd.,Finance,2025-11-25,388.0,384.0,385.0,3568,1376609.2,57
PFL,Pokhara Finance Ltd.,Finance,2025-11-26,388.0,382.0,388.0,6193,2388917.8,60
PFL,Pokhara Finance Ltd.,Finance,2025-11-27,388.6,380.0,384.0,11145,4276819.8,99
PFL,Pokhara Finance Ltd.,Finance,2025-11-30,387.0,376.0,379.0,15943,6067236.9,108
PFL,Pokhara Finance Ltd.,Finance,2025-12-01,384.0,376.0,380.0,7763,2963108.5,61
PFL,Pokhara Finance Ltd.,Finance,2025-12-02,383.0,369.1,370.5,13140,4920657.9,106
PFL,Pokhara Finance Ltd.,Finance,2025-12-03,391.0,374.0,378.0,12821,4885147.6,120
ICFCD83,ICFC Finance Limited,Finance,2024-12-03,1285.1,1285.1,1285.1,50,64255.0,1
ICFCD83,ICFC Finance Limited,Finance,2024-12-04,1295.0,1291.0,1291.0,230,297770.0,2
ICFCD83,ICFC Finance Limited,Finance,2024-12-05,1305.0,1291.0,1300.0,97,126127.0,7
ICFCD83,ICFC Finance Limited,Finance,2024-12-08,1300.0,1300.0,1300.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2024-12-09,1300.0,1300.0,1300.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2024-12-10,1300.0,1300.0,1300.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2024-12-11,1300.0,1300.0,1300.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2024-12-12,1300.0,1300.0,1300.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2024-12-16,1275.0,1275.0,1275.0,50,63750.0,1
ICFCD83,ICFC Finance Limited,Finance,2024-12-17,1300.0,1285.0,1285.0,128,165230.0,2
ICFCD83,ICFC Finance Limited,Finance,2024-12-18,1285.0,1285.0,1285.0,80,102800.0,2
ICFCD83,ICFC Finance Limited,Finance,2024-12-19,1305.0,1305.0,1305.0,120,156600.0,1
ICFCD83,ICFC Finance Limited,Finance,2024-12-22,1305.0,1305.0,1305.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2024-12-23,1305.0,1305.0,1305.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2024-12-24,1324.0,1315.0,1324.0,270,356121.0,4
ICFCD83,ICFC Finance Limited,Finance,2024-12-26,1324.0,1324.0,1324.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2024-12-29,1325.0,1325.0,1325.0,10,13250.0,1
ICFCD83,ICFC Finance Limited,Finance,2024-12-31,1325.0,1324.0,1325.0,235,311354.5,4
ICFCD83,ICFC Finance Limited,Finance,2025-01-01,1325.0,1325.0,1325.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-02,1325.0,1301.0,1301.0,70,91070.3,2
ICFCD83,ICFC Finance Limited,Finance,2025-01-05,1301.0,1301.0,1301.0,25,32525.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-01-06,1301.0,1301.0,1301.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-07,1301.0,1301.0,1301.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-08,1285.0,1280.0,1280.0,266,341230.0,2
ICFCD83,ICFC Finance Limited,Finance,2025-01-09,1280.0,1280.0,1280.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-12,1280.0,1280.0,1280.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-13,1280.0,1280.0,1280.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-15,1290.0,1280.0,1280.0,700,898000.0,3
ICFCD83,ICFC Finance Limited,Finance,2025-01-16,1280.0,1254.4,1229.4,12,15027.8,3
ICFCD83,ICFC Finance Limited,Finance,2025-01-19,1229.4,1229.4,1229.4,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-20,1229.4,1229.4,1229.4,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-21,1229.4,1229.4,1210.0,1,1210.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-01-22,1213.0,1213.0,1213.0,25,30325.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-01-23,1215.0,1210.0,1215.0,230,278500.0,2
ICFCD83,ICFC Finance Limited,Finance,2025-01-26,1215.0,1215.0,1215.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-27,1215.0,1215.0,1215.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-01-28,1205.0,1205.0,1205.0,25,30125.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-02-02,1205.0,1205.0,1205.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-02-03,1210.0,1200.0,1200.0,1576,1894933.9,10
ICFCD83,ICFC Finance Limited,Finance,2025-02-04,1203.0,1200.0,1203.0,190,228570.3,2
ICFCD83,ICFC Finance Limited,Finance,2025-02-05,1203.0,1203.0,1226.0,1,1226.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-02-06,1226.0,1226.0,1239.9,10,12398.7,2
ICFCD83,ICFC Finance Limited,Finance,2025-02-09,1239.9,1239.9,1239.9,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-02-10,1239.9,1239.0,1239.0,11,13654.6,2
ICFCD83,ICFC Finance Limited,Finance,2025-02-11,1239.0,1239.0,1239.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-02-12,1239.0,1239.0,1238.9,10,12389.0,2
ICFCD83,ICFC Finance Limited,Finance,2025-02-13,1238.0,1238.0,1238.0,10,12380.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-02-16,1221.0,1221.0,1221.0,12,14652.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-02-17,1221.0,1221.0,1221.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-02-18,1221.0,1221.0,1221.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-02-20,1206.0,1205.0,1205.0,190,228983.2,3
ICFCD83,ICFC Finance Limited,Finance,2025-02-23,1205.0,1205.0,1205.1,3,3615.3,1
ICFCD83,ICFC Finance Limited,Finance,2025-02-24,1205.1,1205.1,1205.1,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-02-25,1205.0,1205.0,1205.0,200,241000.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-02-27,1205.0,1205.0,1205.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-02,1205.0,1205.0,1205.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-03,1205.0,1205.0,1205.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-04,1205.0,1205.0,1205.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-05,1205.0,1205.0,1205.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-06,1205.0,1205.0,1205.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-09,1205.0,1205.0,1205.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-10,1200.0,1195.0,1195.0,650,778750.0,3
ICFCD83,ICFC Finance Limited,Finance,2025-03-11,1195.0,1195.0,1195.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-12,1195.0,1195.0,1210.0,3,3630.0,2
ICFCD83,ICFC Finance Limited,Finance,2025-03-16,1210.0,1210.0,1210.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-17,1218.0,1210.0,1218.0,40,48719.8,3
ICFCD83,ICFC Finance Limited,Finance,2025-03-18,1218.0,1218.0,1218.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-19,1218.0,1217.9,1217.9,91,110828.9,2
ICFCD83,ICFC Finance Limited,Finance,2025-03-20,1218.0,1210.0,1212.01,602,730530.0,4
ICFCD83,ICFC Finance Limited,Finance,2025-03-23,1212.01,1212.01,1192.0,1,1192.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-03-24,1192.0,1192.0,1192.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-03-25,1180.0,1180.0,1183.0,192,226566.0,2
ICFCD83,ICFC Finance Limited,Finance,2025-03-26,1206.6,1200.0,1200.0,20,24066.0,2
ICFCD83,ICFC Finance Limited,Finance,2025-03-27,1200.0,1200.0,1199.99,190,227990.1,4
ICFCD83,ICFC Finance Limited,Finance,2025-03-30,1199.99,1199.99,1199.99,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-04-01,1200.0,1195.0,1200.0,463,555450.3,6
ICFCD83,ICFC Finance Limited,Finance,2025-04-02,1200.0,1200.0,1200.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-04-03,1200.0,1200.0,1200.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-04-07,1200.0,1200.0,1200.0,0,0.0,0
ICFCD83,ICFC Finance Limited,Finance,2025-04-08,1200.0,1200.0,1224.0,3,3672.0,1
ICFCD83,ICFC Finance Limited,Finance,2025-04-09,1212.0,1201.0,1201.0,469,566783.0,3
