Date,High,Low,Close,Volume,Value_NPR,Trades
2024-12-03,10.75,10.51,10.65,140700,1508823.75,20
2024-12-04,10.85,10.66,10.84,340000,3677442.0,30
2024-12-05,10.7,10.6,10.61,300500,3196243.0,20
2024-12-08,10.72,10.51,10.7,203200,2142945.0,16
2024-12-09,10.7,10.6,10.62,20500,217977.0,9
2024-12-10,10.8,10.6,10.64,1350,14364.0,9
2024-12-11,10.69,10.64,10.67,3500,37373.0,14
2024-12-12,10.7,10.53,10.65,11300,120193.0,16
2024-12-16,10.71,10.45,10.51,21880,230190.8,15
2024-12-17,10.45,10.36,10.45,2000,20819.0,9
2024-12-18,10.47,10.36,10.46,9550,99881.0,6
2024-12-19,10.31,10.26,10.31,77475,796311.5,6
2024-12-22,10.53,10.34,10.53,6800,71197.0,12
2024-12-23,10.7,10.25,10.35,20300,212138.5,17
2024-12-24,10.41,10.01,10.01,1773810,17871234.05,59
2024-12-26,10.5,9.92,10.2,1354640,13581551.37,59
2024-12-29,10.6,10.13,10.13,178200,1819973.25,30
2024-12-31,10.69,10.1,10.17,462125,4704926.25,31
2025-01-01,10.3,10.11,10.16,37890,386732.0,16
2025-01-02,10.25,10.05,10.16,20810,212994.4,9
2025-01-05,10.5,10.1,10.25,9025,92078.25,13
2025-01-06,10.45,10.15,10.2,17300,176678.0,17
2025-01-07,10.6,10.11,10.29,20625,214317.0,15
2025-01-08,10.4,10.1,10.4,135850,1383309.0,35
2025-01-09,10.59,10.12,10.28,78200,801648.75,23
2025-01-12,10.55,10.14,10.25,12950,132816.25,12
2025-01-13,10.31,10.11,10.17,4500,45689.0,9
2025-01-15,10.57,9.99,10.2,22600,232285.0,16
2025-01-16,10.4,10.04,10.25,27675,282625.75,15
2025-01-19,10.25,10.05,10.2,8825,89895.0,14
2025-01-20,10.36,10.03,10.36,6000,61807.0,15
2025-01-21,10.36,10.18,10.36,23055,238377.3,13
2025-01-22,10.3,10.2,10.26,1000,10237.0,8
2025-01-23,10.27,10.06,10.26,2850,29217.55,11
2025-01-26,10.25,10.12,10.12,40400,413683.0,7
2025-01-27,10.16,10.03,10.13,111100,1128551.0,22
2025-01-28,10.2,10.01,10.01,210120,2107562.8,41
2025-02-02,10.3,9.93,10.11,18370,186658.0,22
2025-02-03,10.17,9.98,10.17,79148,803593.16,22
2025-02-04,10.13,10.04,10.06,50125,506916.5,10
2025-02-05,10.2,9.86,10.2,109600,1102593.0,18
2025-02-06,10.18,9.99,10.18,39622,398190.96,14
2025-02-09,10.15,9.98,10.11,7465,75319.75,15
2025-02-10,10.2,10.1,10.2,20538,207816.8,19
2025-02-11,10.5,10.1,10.49,37000,386362.0,7
2025-02-12,10.48,10.13,10.16,33450,346316.0,10
2025-02-13,10.2,10.13,10.2,13217,134785.4,6
2025-02-16,10.25,10.04,10.2,71290,721326.5,21
2025-02-17,10.25,10.05,10.16,1200,12130.0,9
2025-02-18,10.2,10.03,10.2,3300,33486.0,12
2025-02-20,10.2,10.09,10.2,13200,134598.0,7
2025-02-23,10.2,10.0,10.11,9800,99485.0,12
2025-02-24,10.25,10.17,10.17,47000,479280.0,15
2025-02-25,10.21,10.12,10.21,104700,1068905.0,15
2025-02-27,10.24,10.05,10.18,260110,2653234.9,24
2025-03-02,10.25,10.2,10.25,91700,939378.0,24
2025-03-03,10.4,10.25,10.38,4175,43279.9,13
2025-03-04,10.58,10.19,10.26,15325,157814.25,21
2025-03-05,10.52,10.07,10.27,1113335,11545843.7,31
2025-03-06,10.5,10.07,10.37,14175,147060.25,16
2025-03-09,10.37,10.21,10.37,4950,50596.5,16
2025-03-10,10.42,10.19,10.42,2317,23710.74,13
2025-03-11,10.26,10.22,10.25,37055,379265.55,17
2025-03-12,10.32,10.25,10.28,329925,3400803.75,19
2025-03-16,10.45,10.09,10.25,15100,156516.0,14
2025-03-17,10.45,10.05,10.39,1925,19846.75,12
2025-03-18,10.29,10.25,10.29,1950,20021.5,9
2025-03-19,10.48,10.12,10.28,5900,60506.0,6
2025-03-20,10.3,10.15,10.3,600,6133.0,4
2025-03-23,10.2,10.15,10.15,35900,365901.0,8
2025-03-24,10.25,10.0,10.17,35650,364232.5,11
2025-03-25,10.17,10.03,10.17,50400,512550.0,4
2025-03-26,10.29,9.99,10.29,10700,109635.0,8
2025-03-27,10.25,10.11,10.25,8000,81782.0,11
2025-03-30,10.4,10.11,10.24,77265,791642.6,24
2025-04-01,10.42,10.1,10.24,1600,16354.0,8
2025-04-02,10.44,10.2,10.3,16400,170024.0,10
2025-04-03,10.65,10.25,10.25,24373,250482.47,15
2025-04-07,10.42,10.1,10.42,8300,85929.0,9
2025-04-08,10.35,10.26,10.33,10700,110217.0,7
